   0.00000000      0.574658573    
   5.00000007E-02  0.784089744    
  0.100000001      0.943631351    
  0.150000006       1.05903482    
  0.200000003       1.13605177    
  0.250000000       1.18043363    
  0.300000012       1.19793177    
  0.349999994       1.19429791    
  0.400000006       1.17528355    
  0.449999988       1.14664030    
  0.500000000       1.11411953    
  0.550000012       1.08347285    
  0.600000024       1.06045139    
  0.649999976       1.05080748    
  0.699999988       1.06029105    
  0.750000000       1.09465528    
  0.800000012       1.15965104    
  0.850000024       1.26102972    
  0.899999976       1.40454340    
  0.949999988       1.59594250    
   1.00000000       1.84098005    
